step,fid,skip_factor,dataset,teacher_timesteps,student_timesteps,num_iters,scheduling_strategy
1,463.6773681640625,2,cifar10,2,1,1000,nefvlf
1,212.51185607910156,2,cifar10,2,1,500,default
1,322.562744140625,2,mnist,16,8,32,default
2,317.0593566894531,2,mnist,16,8,32,default
4,311.9989318847656,2,mnist,16,8,32,default
8,190.3399200439453,2,mnist,16,8,32,default
1,322.64215087890625,2,mnist,16,8,128,default
2,318.729248046875,2,mnist,16,8,128,default
4,312.2912292480469,2,mnist,16,8,128,default
8,192.95872497558594,2,mnist,16,8,128,default
2,209.85182189941406,2,cifar10,32,16,500,default
4,208.00672912597656,2,cifar10,32,16,500,default
8,193.185791015625,2,cifar10,32,16,500,default
16,242.92437744140625,2,cifar10,32,16,500,default
1,309.30694580078125,8,mnist,8,1,1000,ef
4,323.33056640625,2,mnist,256,128,1000,default
32,313.03155517578125,2,mnist,256,128,1000,default
64,310.7895202636719,2,mnist,256,128,1000,default
128,225.48402404785156,2,mnist,256,128,1000,default
1,309.31866455078125,2,mnist,2,1,1000,nefvlf
1,317.2239685058594,2,mnist,4,2,500,default
2,293.5818176269531,2,mnist,4,2,500,default
1,429.658447265625,2,cifar10,2,1,32,default
4,323.849853515625,2,mnist,512,256,1000,default
64,315.055419921875,2,mnist,512,256,1000,default
128,312.3814392089844,2,mnist,512,256,1000,default
256,170.69129943847656,2,mnist,512,256,1000,default
1,300.09820556640625,4,mnist,4,1,1000,default
2,323.5263366699219,8,mnist,128,16,1000,default
4,317.6958312988281,8,mnist,128,16,1000,default
8,312.12823486328125,8,mnist,128,16,1000,default
16,189.1602020263672,8,mnist,128,16,1000,default
4,203.0984649658203,2,cifar10,128,64,128,default
16,203.29046630859375,2,cifar10,128,64,128,default
32,189.8260040283203,2,cifar10,128,64,128,default
64,191.9270782470703,2,cifar10,128,64,128,default
1,320.8877258300781,2,mnist,8,4,500,default
2,320.2888488769531,2,mnist,8,4,500,default
4,300.4552001953125,2,mnist,8,4,500,default
1,209.0118408203125,2,cifar10,8,4,1000,nefvlf
2,216.69332885742188,2,cifar10,8,4,1000,nefvlf
4,337.96453857421875,2,cifar10,8,4,1000,nefvlf
4,205.8217010498047,nan,cifar10,nan,nan,1000,default
64,205.9642791748047,nan,cifar10,nan,nan,1000,default
128,205.43309020996094,nan,cifar10,nan,nan,1000,default
512,183.95494079589844,nan,cifar10,nan,nan,1000,default
1024,175.92172241210938,nan,cifar10,nan,nan,1000,default
1,302.9755554199219,32,mnist,32,1,1000,default
1,531.193359375,32,cifar10,32,1,1000,default
1,320.61285400390625,2,mnist,8,4,1000,nefvlf
2,318.4446105957031,2,mnist,8,4,1000,nefvlf
4,250.7993927001953,2,mnist,8,4,1000,nefvlf
4,205.67840576171875,2,cifar10,512,256,128,default
64,202.23919677734375,2,cifar10,512,256,128,default
128,185.44403076171875,2,cifar10,512,256,128,default
256,185.84579467773438,2,cifar10,512,256,128,default
4,206.24569702148438,32,cifar10,1024,32,1000,default
8,205.5365753173828,32,cifar10,1024,32,1000,default
16,192.82669067382812,32,cifar10,1024,32,1000,default
32,145.26158142089844,32,cifar10,1024,32,1000,default
1,301.3284606933594,4,mnist,4,1,1000,l
1,322.03265380859375,32,mnist,1024,32,1000,nefvlf
4,320.9063720703125,32,mnist,1024,32,1000,nefvlf
8,316.1117858886719,32,mnist,1024,32,1000,nefvlf
32,187.26318359375,32,mnist,1024,32,1000,nefvlf
4,203.09828186035156,2,cifar10,256,128,32,default
32,199.4878692626953,2,cifar10,256,128,32,default
64,185.3177032470703,2,cifar10,256,128,32,default
128,180.0624237060547,2,cifar10,256,128,32,default
4,324.1055603027344,2,mnist,512,256,500,default
64,314.1296691894531,2,mnist,512,256,500,default
128,309.2569580078125,2,mnist,512,256,500,default
256,151.56393432617188,2,mnist,512,256,500,default
1,319.117919921875,2,mnist,4,2,32,default
2,283.1691589355469,2,mnist,4,2,32,default
1,319.9485778808594,256,mnist,1024,4,1000,default
2,314.5826416015625,256,mnist,1024,4,1000,default
4,221.28709411621094,256,mnist,1024,4,1000,default
4,204.95556640625,2,cifar10,64,32,500,default
8,202.5142364501953,2,cifar10,64,32,500,default
16,183.6206512451172,2,cifar10,64,32,500,default
32,241.131103515625,2,cifar10,64,32,500,default
4,203.9829559326172,2,cifar10,256,128,1000,vefnlf
16,200.7249755859375,2,cifar10,256,128,1000,vefnlf
32,199.71798706054688,2,cifar10,256,128,1000,vefnlf
128,270.5043029785156,2,cifar10,256,128,1000,vefnlf
4,323.765380859375,2,mnist,128,64,500,default
16,315.716064453125,2,mnist,128,64,500,default
32,312.3789367675781,2,mnist,128,64,500,default
64,273.38238525390625,2,mnist,128,64,500,default
4,206.26315307617188,2,cifar10,256,128,1000,ef
16,204.45816040039062,2,cifar10,256,128,1000,ef
32,200.17364501953125,2,cifar10,256,128,1000,ef
128,222.86111450195312,2,cifar10,256,128,1000,ef
1,317.1672668457031,4,mnist,16,4,1000,default
2,317.89990234375,4,mnist,16,4,1000,default
4,265.6455078125,4,mnist,16,4,1000,default
1,315.7856750488281,2,mnist,4,2,1000,default
2,292.4786376953125,2,mnist,4,2,1000,default
4,322.6341857910156,2,mnist,256,128,1000,ef
16,321.5757141113281,2,mnist,256,128,1000,ef
32,317.6705322265625,2,mnist,256,128,1000,ef
128,229.55972290039062,2,mnist,256,128,1000,ef
1,203.8986358642578,2,cifar10,16,8,1000,nefvlf
2,205.56405639648438,2,cifar10,16,8,1000,nefvlf
4,211.52713012695312,2,cifar10,16,8,1000,nefvlf
8,275.3119812011719,2,cifar10,16,8,1000,nefvlf
4,211.53701782226562,2,cifar10,128,64,1000,vefnlf
8,209.91000366210938,2,cifar10,128,64,1000,vefnlf
16,205.28384399414062,2,cifar10,128,64,1000,vefnlf
64,275.67724609375,2,cifar10,128,64,1000,vefnlf
4,325.9425354003906,2,mnist,128,64,1000,vefnlf
8,322.1271667480469,2,mnist,128,64,1000,vefnlf
16,316.8828430175781,2,mnist,128,64,1000,vefnlf
64,275.6686706542969,2,mnist,128,64,1000,vefnlf
1,213.2155303955078,2,cifar10,4,2,1000,lf
2,297.5754699707031,2,cifar10,4,2,1000,lf
1,282.1660461425781,32,cifar10,32,1,1000,vefnlf
4,209.25013732910156,2,cifar10,1024,512,1000,ef
32,209.57156372070312,2,cifar10,1024,512,1000,ef
256,180.9296875,2,cifar10,1024,512,1000,ef
512,199.53004455566406,2,cifar10,1024,512,1000,ef
4,326.13861083984375,16,mnist,1024,64,1000,default
16,318.21075439453125,16,mnist,1024,64,1000,default
32,310.56396484375,16,mnist,1024,64,1000,default
64,164.68212890625,16,mnist,1024,64,1000,default
4,200.2841796875,4,cifar10,1024,256,1000,l
32,197.82518005371094,4,cifar10,1024,256,1000,l
128,174.99717712402344,4,cifar10,1024,256,1000,l
256,131.89877319335938,4,cifar10,1024,256,1000,l
4,323.6377258300781,4,mnist,1024,256,1000,l
32,321.42864990234375,4,mnist,1024,256,1000,l
128,310.0511169433594,4,mnist,1024,256,1000,l
256,154.17889404296875,4,mnist,1024,256,1000,l
4,326.07586669921875,2,mnist,128,64,32,default
16,318.8066101074219,2,mnist,128,64,32,default
32,309.4476623535156,2,mnist,128,64,32,default
64,174.16819763183594,2,mnist,128,64,32,default
4,203.82781982421875,2,cifar10,512,256,500,default
64,198.70156860351562,2,cifar10,512,256,500,default
128,177.6173858642578,2,cifar10,512,256,500,default
256,203.7105255126953,2,cifar10,512,256,500,default
1,322.7982177734375,4,mnist,128,32,1000,lf
4,320.49462890625,4,mnist,128,32,1000,lf
8,317.0248718261719,4,mnist,128,32,1000,lf
32,192.5140380859375,4,mnist,128,32,1000,lf
