step,fid,skip_factor,dataset,teacher_timesteps,student_timesteps
4,323.33056640625,2,mnist,256,128
32,313.03155517578125,2,mnist,256,128
64,310.7895202636719,2,mnist,256,128
128,225.48402404785156,2,mnist,256,128
4,323.849853515625,2,mnist,512,256
64,315.055419921875,2,mnist,512,256
128,312.3814392089844,2,mnist,512,256
256,170.69129943847656,2,mnist,512,256
1,300.09820556640625,4,mnist,4,1
2,323.5263366699219,8,mnist,128,16
4,317.6958312988281,8,mnist,128,16
8,312.12823486328125,8,mnist,128,16
16,189.1602020263672,8,mnist,128,16
4,205.8217010498047,nan,cifar10,nan,nan
64,205.9642791748047,nan,cifar10,nan,nan
128,205.43309020996094,nan,cifar10,nan,nan
512,183.95494079589844,nan,cifar10,nan,nan
1024,175.92172241210938,nan,cifar10,nan,nan
1,302.9755554199219,32,mnist,32,1
1,531.193359375,32,cifar10,32,1
4,206.24569702148438,32,cifar10,1024,32
8,205.5365753173828,32,cifar10,1024,32
16,192.82669067382812,32,cifar10,1024,32
32,145.26158142089844,32,cifar10,1024,32
1,319.9485778808594,256,mnist,1024,4
2,314.5826416015625,256,mnist,1024,4
4,221.28709411621094,256,mnist,1024,4
1,317.1672668457031,4,mnist,16,4
2,317.89990234375,4,mnist,16,4
4,265.6455078125,4,mnist,16,4
1,315.7856750488281,2,mnist,4,2
2,292.4786376953125,2,mnist,4,2
4,326.13861083984375,16,mnist,1024,64
16,318.21075439453125,16,mnist,1024,64
32,310.56396484375,16,mnist,1024,64
64,164.68212890625,16,mnist,1024,64
4,206.10006713867188,4,cifar10,1024,256
64,203.02987670898438,4,cifar10,1024,256
128,183.03358459472656,4,cifar10,1024,256
256,149.18336486816406,4,cifar10,1024,256
4,326.3734436035156,2,mnist,1024,512
64,323.4613342285156,2,mnist,1024,512
128,318.1971130371094,2,mnist,1024,512
512,150.37852478027344,2,mnist,1024,512
4,325.61212158203125,8,mnist,1024,128
32,317.26654052734375,8,mnist,1024,128
64,312.6136474609375,8,mnist,1024,128
128,149.6214141845703,8,mnist,1024,128
1,315.1968078613281,2,mnist,8,4
2,317.13531494140625,2,mnist,8,4
4,296.566650390625,2,mnist,8,4
1,213.52252197265625,2,cifar10,16,8
2,215.55154418945312,2,cifar10,16,8
4,211.39614868164062,2,cifar10,16,8
8,297.91412353515625,2,cifar10,16,8
2,205.08094787597656,4,cifar10,64,16
4,204.3909454345703,4,cifar10,64,16
8,195.90560913085938,4,cifar10,64,16
16,148.48077392578125,4,cifar10,64,16
2,322.00628662109375,4,mnist,64,16
4,318.29730224609375,4,mnist,64,16
8,313.33740234375,4,mnist,64,16
16,204.58990478515625,4,mnist,64,16
